model_id,model,quant,bytes_per_param,context_tokens,weights_gb,kv_cache_gb,overhead_gb,total_gb,total_gb_q8_cache
qwen3.8-27b,Qwen3.8 27B,Q4_K_M,0.58,65536,16.12,4.44,1.14,21.71,19.57
qwen3.8-27b,Qwen3.8 27B,Q4_K_M,0.58,131072,16.12,8.74,1.14,26.01,21.71
qwen3.8-27b,Qwen3.8 27B,Q4_K_M,0.58,262144,16.12,17.33,1.14,34.6,26.01
qwen3.8-27b,Qwen3.8 27B,Q3_K_M,0.47,4096,13.07,0.42,1.02,14.51,14.37
qwen3.8-27b,Qwen3.8 27B,Q3_K_M,0.47,8192,13.07,0.69,1.02,14.78,14.51
qwen3.8-27b,Qwen3.8 27B,Q3_K_M,0.47,16384,13.07,1.22,1.02,15.31,14.78
qwen3.8-27b,Qwen3.8 27B,Q3_K_M,0.47,32768,13.07,2.3,1.02,16.39,15.31
qwen3.8-27b,Qwen3.8 27B,Q3_K_M,0.47,65536,13.07,4.44,1.02,18.53,16.39
qwen3.8-27b,Qwen3.8 27B,Q3_K_M,0.47,131072,13.07,8.74,1.02,22.83,18.53
qwen3.8-27b,Qwen3.8 27B,Q3_K_M,0.47,262144,13.07,17.33,1.02,31.42,22.83
qwen3-30b-a3b,Qwen3 30B-A3B (MoE),FP16,2,4096,61,0.4,2.94,64.34,64.14
qwen3-30b-a3b,Qwen3 30B-A3B (MoE),FP16,2,8192,61,0.81,2.94,64.75,64.34
qwen3-30b-a3b,Qwen3 30B-A3B (MoE),FP16,2,16384,61,1.61,2.94,65.55,64.75
qwen3-30b-a3b,Qwen3 30B-A3B (MoE),FP16,2,32768,61,3.22,2.94,67.16,65.55
qwen3-30b-a3b,Qwen3 30B-A3B (MoE),FP16,2,40960,61,4.03,2.94,67.97,65.95
qwen3-30b-a3b,Qwen3 30B-A3B (MoE),Q8_0,1.06,4096,32.33,0.4,1.79,34.53,34.32
qwen3-30b-a3b,Qwen3 30B-A3B (MoE),Q8_0,1.06,8192,32.33,0.81,1.79,34.93,34.53
qwen3-30b-a3b,Qwen3 30B-A3B (MoE),Q8_0,1.06,16384,32.33,1.61,1.79,35.73,34.93
qwen3-30b-a3b,Qwen3 30B-A3B (MoE),Q8_0,1.06,32768,32.33,3.22,1.79,37.34,35.73
qwen3-30b-a3b,Qwen3 30B-A3B (MoE),Q8_0,1.06,40960,32.33,4.03,1.79,38.15,36.14
qwen3-30b-a3b,Qwen3 30B-A3B (MoE),Q6_K,0.82,4096,25.01,0.4,1.5,26.91,26.71
qwen3-30b-a3b,Qwen3 30B-A3B (MoE),Q6_K,0.82,8192,25.01,0.81,1.5,27.32,26.91
qwen3-30b-a3b,Qwen3 30B-A3B (MoE),Q6_K,0.82,16384,25.01,1.61,1.5,28.12,27.32
qwen3-30b-a3b,Qwen3 30B-A3B (MoE),Q6_K,0.82,32768,25.01,3.22,1.5,29.73,28.12
qwen3-30b-a3b,Qwen3 30B-A3B (MoE),Q6_K,0.82,40960,25.01,4.03,1.5,30.54,28.52
qwen3-30b-a3b,Qwen3 30B-A3B (MoE),Q5_K_M,0.71,4096,21.65,0.4,1.37,23.42,23.22
qwen3-30b-a3b,Qwen3 30B-A3B (MoE),Q5_K_M,0.71,8192,21.65,0.81,1.37,23.83,23.42
qwen3-30b-a3b,Qwen3 30B-A3B (MoE),Q5_K_M,0.71,16384,21.65,1.61,1.37,24.63,23.83
qwen3-30b-a3b,Qwen3 30B-A3B (MoE),Q5_K_M,0.71,32768,21.65,3.22,1.37,26.24,24.63
qwen3-30b-a3b,Qwen3 30B-A3B (MoE),Q5_K_M,0.71,40960,21.65,4.03,1.37,27.05,25.03
qwen3-30b-a3b,Qwen3 30B-A3B (MoE),Q4_K_M,0.58,4096,17.69,0.4,1.21,19.3,19.1
qwen3-30b-a3b,Qwen3 30B-A3B (MoE),Q4_K_M,0.58,8192,17.69,0.81,1.21,19.7,19.3
qwen3-30b-a3b,Qwen3 30B-A3B (MoE),Q4_K_M,0.58,16384,17.69,1.61,1.21,20.51,19.7
qwen3-30b-a3b,Qwen3 30B-A3B (MoE),Q4_K_M,0.58,32768,17.69,3.22,1.21,22.12,20.51
qwen3-30b-a3b,Qwen3 30B-A3B (MoE),Q4_K_M,0.58,40960,17.69,4.03,1.21,22.92,20.91
qwen3-30b-a3b,Qwen3 30B-A3B (MoE),Q3_K_M,0.47,4096,14.34,0.4,1.07,15.81,15.61
qwen3-30b-a3b,Qwen3 30B-A3B (MoE),Q3_K_M,0.47,8192,14.34,0.81,1.07,16.21,15.81
qwen3-30b-a3b,Qwen3 30B-A3B (MoE),Q3_K_M,0.47,16384,14.34,1.61,1.07,17.02,16.21
qwen3-30b-a3b,Qwen3 30B-A3B (MoE),Q3_K_M,0.47,32768,14.34,3.22,1.07,18.63,17.02
qwen3-30b-a3b,Qwen3 30B-A3B (MoE),Q3_K_M,0.47,40960,14.34,4.03,1.07,19.43,17.42
glm-4.7-flash,GLM-4.7 Flash 30B-A3B (MoE),FP16,2,4096,62.4,0.22,3,65.62,65.51
glm-4.7-flash,GLM-4.7 Flash 30B-A3B (MoE),FP16,2,8192,62.4,0.44,3,65.84,65.62
glm-4.7-flash,GLM-4.7 Flash 30B-A3B (MoE),FP16,2,16384,62.4,0.89,3,66.28,65.84
glm-4.7-flash,GLM-4.7 Flash 30B-A3B (MoE),FP16,2,32768,62.4,1.77,3,67.17,66.28
glm-4.7-flash,GLM-4.7 Flash 30B-A3B (MoE),FP16,2,65536,62.4,3.55,3,68.94,67.17
glm-4.7-flash,GLM-4.7 Flash 30B-A3B (MoE),FP16,2,131072,62.4,7.1,3,72.49,68.94
glm-4.7-flash,GLM-4.7 Flash 30B-A3B (MoE),FP16,2,202752,62.4,10.98,3,76.37,70.88
glm-4.7-flash,GLM-4.7 Flash 30B-A3B (MoE),Q8_0,1.06,4096,33.07,0.22,1.82,35.12,35.01
glm-4.7-flash,GLM-4.7 Flash 30B-A3B (MoE),Q8_0,1.06,8192,33.07,0.44,1.82,35.34,35.12
glm-4.7-flash,GLM-4.7 Flash 30B-A3B (MoE),Q8_0,1.06,16384,33.07,0.89,1.82,35.78,35.34
glm-4.7-flash,GLM-4.7 Flash 30B-A3B (MoE),Q8_0,1.06,32768,33.07,1.77,1.82,36.67,35.78
glm-4.7-flash,GLM-4.7 Flash 30B-A3B (MoE),Q8_0,1.06,65536,33.07,3.55,1.82,38.44,36.67
glm-4.7-flash,GLM-4.7 Flash 30B-A3B (MoE),Q8_0,1.06,131072,33.07,7.1,1.82,41.99,38.44
glm-4.7-flash,GLM-4.7 Flash 30B-A3B (MoE),Q8_0,1.06,202752,33.07,10.98,1.82,45.87,40.38
glm-4.7-flash,GLM-4.7 Flash 30B-A3B (MoE),Q6_K,0.82,4096,25.58,0.22,1.52,27.33,27.22
glm-4.7-flash,GLM-4.7 Flash 30B-A3B (MoE),Q6_K,0.82,8192,25.58,0.44,1.52,27.55,27.33
glm-4.7-flash,GLM-4.7 Flash 30B-A3B (MoE),Q6_K,0.82,16384,25.58,0.89,1.52,27.99,27.55
glm-4.7-flash,GLM-4.7 Flash 30B-A3B (MoE),Q6_K,0.82,32768,25.58,1.77,1.52,28.88,27.99
glm-4.7-flash,GLM-4.7 Flash 30B-A3B (MoE),Q6_K,0.82,65536,25.58,3.55,1.52,30.66,28.88
glm-4.7-flash,GLM-4.7 Flash 30B-A3B (MoE),Q6_K,0.82,131072,25.58,7.1,1.52,34.2,30.66
glm-4.7-flash,GLM-4.7 Flash 30B-A3B (MoE),Q6_K,0.82,202752,25.58,10.98,1.52,38.09,32.6
glm-4.7-flash,GLM-4.7 Flash 30B-A3B (MoE),Q5_K_M,0.71,4096,22.15,0.22,1.39,23.76,23.65
glm-4.7-flash,GLM-4.7 Flash 30B-A3B (MoE),Q5_K_M,0.71,8192,22.15,0.44,1.39,23.98,23.76
glm-4.7-flash,GLM-4.7 Flash 30B-A3B (MoE),Q5_K_M,0.71,16384,22.15,0.89,1.39,24.43,23.98
glm-4.7-flash,GLM-4.7 Flash 30B-A3B (MoE),Q5_K_M,0.71,32768,22.15,1.77,1.39,25.31,24.43
glm-4.7-flash,GLM-4.7 Flash 30B-A3B (MoE),Q5_K_M,0.71,65536,22.15,3.55,1.39,27.09,25.31
glm-4.7-flash,GLM-4.7 Flash 30B-A3B (MoE),Q5_K_M,0.71,131072,22.15,7.1,1.39,30.63,27.09
glm-4.7-flash,GLM-4.7 Flash 30B-A3B (MoE),Q5_K_M,0.71,202752,22.15,10.98,1.39,34.52,29.03
glm-4.7-flash,GLM-4.7 Flash 30B-A3B (MoE),Q4_K_M,0.58,4096,18.1,0.22,1.22,19.54,19.43
glm-4.7-flash,GLM-4.7 Flash 30B-A3B (MoE),Q4_K_M,0.58,8192,18.1,0.44,1.22,19.76,19.54
glm-4.7-flash,GLM-4.7 Flash 30B-A3B (MoE),Q4_K_M,0.58,16384,18.1,0.89,1.22,20.21,19.76
glm-4.7-flash,GLM-4.7 Flash 30B-A3B (MoE),Q4_K_M,0.58,32768,18.1,1.77,1.22,21.09,20.21
glm-4.7-flash,GLM-4.7 Flash 30B-A3B (MoE),Q4_K_M,0.58,65536,18.1,3.55,1.22,22.87,21.09
glm-4.7-flash,GLM-4.7 Flash 30B-A3B (MoE),Q4_K_M,0.58,131072,18.1,7.1,1.22,26.42,22.87
glm-4.7-flash,GLM-4.7 Flash 30B-A3B (MoE),Q4_K_M,0.58,202752,18.1,10.98,1.22,30.3,24.81
glm-4.7-flash,GLM-4.7 Flash 30B-A3B (MoE),Q3_K_M,0.47,4096,14.66,0.22,1.09,15.97,15.86
glm-4.7-flash,GLM-4.7 Flash 30B-A3B (MoE),Q3_K_M,0.47,8192,14.66,0.44,1.09,16.19,15.97
glm-4.7-flash,GLM-4.7 Flash 30B-A3B (MoE),Q3_K_M,0.47,16384,14.66,0.89,1.09,16.64,16.19
glm-4.7-flash,GLM-4.7 Flash 30B-A3B (MoE),Q3_K_M,0.47,32768,14.66,1.77,1.09,17.52,16.64
glm-4.7-flash,GLM-4.7 Flash 30B-A3B (MoE),Q3_K_M,0.47,65536,14.66,3.55,1.09,19.3,17.52
glm-4.7-flash,GLM-4.7 Flash 30B-A3B (MoE),Q3_K_M,0.47,131072,14.66,7.1,1.09,22.85,19.3
glm-4.7-flash,GLM-4.7 Flash 30B-A3B (MoE),Q3_K_M,0.47,202752,14.66,10.98,1.09,26.73,21.24
gemma-4-31b,Gemma 4 31B,FP16,2,4096,62.6,1.17,3,66.78,66.19
gemma-4-31b,Gemma 4 31B,FP16,2,8192,62.6,1.51,3,67.11,66.36
gemma-4-31b,Gemma 4 31B,FP16,2,16384,62.6,2.18,3,67.79,66.69
gemma-4-31b,Gemma 4 31B,FP16,2,32768,62.6,3.52,3,69.13,67.37
gemma-4-31b,Gemma 4 31B,FP16,2,65536,62.6,6.21,3,71.81,68.71
gemma-4-31b,Gemma 4 31B,FP16,2,131072,62.6,11.58,3,77.18,71.39
gemma-4-31b,Gemma 4 31B,FP16,2,262144,62.6,22.31,3,87.92,76.76
gemma-4-31b,Gemma 4 31B,Q8_0,1.06,4096,33.18,1.17,1.83,36.18,35.59
gemma-4-31b,Gemma 4 31B,Q8_0,1.06,8192,33.18,1.51,1.83,36.52,35.76
gemma-4-31b,Gemma 4 31B,Q8_0,1.06,16384,33.18,2.18,1.83,37.19,36.1
gemma-4-31b,Gemma 4 31B,Q8_0,1.06,32768,33.18,3.52,1.83,38.53,36.77
gemma-4-31b,Gemma 4 31B,Q8_0,1.06,65536,33.18,6.21,1.83,41.21,38.11
gemma-4-31b,Gemma 4 31B,Q8_0,1.06,131072,33.18,11.58,1.83,46.58,40.79
gemma-4-31b,Gemma 4 31B,Q8_0,1.06,262144,33.18,22.31,1.83,57.32,46.16
gemma-4-31b,Gemma 4 31B,Q6_K,0.82,4096,25.67,1.17,1.53,28.37,27.78
gemma-4-31b,Gemma 4 31B,Q6_K,0.82,8192,25.67,1.51,1.53,28.7,27.95
gemma-4-31b,Gemma 4 31B,Q6_K,0.82,16384,25.67,2.18,1.53,29.37,28.28
gemma-4-31b,Gemma 4 31B,Q6_K,0.82,32768,25.67,3.52,1.53,30.72,28.95
gemma-4-31b,Gemma 4 31B,Q6_K,0.82,65536,25.67,6.21,1.53,33.4,30.3
gemma-4-31b,Gemma 4 31B,Q6_K,0.82,131072,25.67,11.58,1.53,38.77,32.98
gemma-4-31b,Gemma 4 31B,Q6_K,0.82,262144,25.67,22.31,1.53,49.51,38.35
gemma-4-31b,Gemma 4 31B,Q5_K_M,0.71,4096,22.22,1.17,1.39,24.79,24.2
gemma-4-31b,Gemma 4 31B,Q5_K_M,0.71,8192,22.22,1.51,1.39,25.12,24.37
gemma-4-31b,Gemma 4 31B,Q5_K_M,0.71,16384,22.22,2.18,1.39,25.79,24.7
gemma-4-31b,Gemma 4 31B,Q5_K_M,0.71,32768,22.22,3.52,1.39,27.14,25.37
gemma-4-31b,Gemma 4 31B,Q5_K_M,0.71,65536,22.22,6.21,1.39,29.82,26.72
gemma-4-31b,Gemma 4 31B,Q5_K_M,0.71,131072,22.22,11.58,1.39,35.19,29.4
gemma-4-31b,Gemma 4 31B,Q5_K_M,0.71,262144,22.22,22.31,1.39,45.93,34.77
gemma-4-31b,Gemma 4 31B,Q4_K_M,0.58,4096,18.15,1.17,1.23,20.55,19.97
gemma-4-31b,Gemma 4 31B,Q4_K_M,0.58,8192,18.15,1.51,1.23,20.89,20.14
gemma-4-31b,Gemma 4 31B,Q4_K_M,0.58,16384,18.15,2.18,1.23,21.56,20.47
gemma-4-31b,Gemma 4 31B,Q4_K_M,0.58,32768,18.15,3.52,1.23,22.9,21.14
gemma-4-31b,Gemma 4 31B,Q4_K_M,0.58,65536,18.15,6.21,1.23,25.59,22.48
gemma-4-31b,Gemma 4 31B,Q4_K_M,0.58,131072,18.15,11.58,1.23,30.96,25.17
gemma-4-31b,Gemma 4 31B,Q4_K_M,0.58,262144,18.15,22.31,1.23,41.69,30.54
gemma-4-31b,Gemma 4 31B,Q3_K_M,0.47,4096,14.71,1.17,1.09,16.97,16.39
gemma-4-31b,Gemma 4 31B,Q3_K_M,0.47,8192,14.71,1.51,1.09,17.31,16.55
gemma-4-31b,Gemma 4 31B,Q3_K_M,0.47,16384,14.71,2.18,1.09,17.98,16.89
gemma-4-31b,Gemma 4 31B,Q3_K_M,0.47,32768,14.71,3.52,1.09,19.32,17.56
gemma-4-31b,Gemma 4 31B,Q3_K_M,0.47,65536,14.71,6.21,1.09,22.01,18.9
gemma-4-31b,Gemma 4 31B,Q3_K_M,0.47,131072,14.71,11.58,1.09,27.38,21.59
gemma-4-31b,Gemma 4 31B,Q3_K_M,0.47,262144,14.71,22.31,1.09,38.11,26.96
nemotron-3.5-lightning-30b-a3b,Nemotron 3.5 Lightning 30B-A3B (MoE),FP16,2,4096,63.2,0.08,3.03,66.3,66.29
nemotron-3.5-lightning-30b-a3b,Nemotron 3.5 Lightning 30B-A3B (MoE),FP16,2,8192,63.2,0.1,3.03,66.33,66.3
nemotron-3.5-lightning-30b-a3b,Nemotron 3.5 Lightning 30B-A3B (MoE),FP16,2,16384,63.2,0.15,3.03,66.38,66.33
nemotron-3.5-lightning-30b-a3b,Nemotron 3.5 Lightning 30B-A3B (MoE),FP16,2,32768,63.2,0.25,3.03,66.48,66.38
nemotron-3.5-lightning-30b-a3b,Nemotron 3.5 Lightning 30B-A3B (MoE),FP16,2,65536,63.2,0.45,3.03,66.68,66.48
nemotron-3.5-lightning-30b-a3b,Nemotron 3.5 Lightning 30B-A3B (MoE),FP16,2,131072,63.2,0.86,3.03,67.08,66.68
nemotron-3.5-lightning-30b-a3b,Nemotron 3.5 Lightning 30B-A3B (MoE),FP16,2,262144,63.2,1.66,3.03,67.89,67.08
nemotron-3.5-lightning-30b-a3b,Nemotron 3.5 Lightning 30B-A3B (MoE),Q8_0,1.06,4096,33.5,0.08,1.84,35.41,35.4
nemotron-3.5-lightning-30b-a3b,Nemotron 3.5 Lightning 30B-A3B (MoE),Q8_0,1.06,8192,33.5,0.1,1.84,35.44,35.41
nemotron-3.5-lightning-30b-a3b,Nemotron 3.5 Lightning 30B-A3B (MoE),Q8_0,1.06,16384,33.5,0.15,1.84,35.49,35.44
nemotron-3.5-lightning-30b-a3b,Nemotron 3.5 Lightning 30B-A3B (MoE),Q8_0,1.06,32768,33.5,0.25,1.84,35.59,35.49
nemotron-3.5-lightning-30b-a3b,Nemotron 3.5 Lightning 30B-A3B (MoE),Q8_0,1.06,65536,33.5,0.45,1.84,35.79,35.59
nemotron-3.5-lightning-30b-a3b,Nemotron 3.5 Lightning 30B-A3B (MoE),Q8_0,1.06,131072,33.5,0.86,1.84,36.19,35.79
nemotron-3.5-lightning-30b-a3b,Nemotron 3.5 Lightning 30B-A3B (MoE),Q8_0,1.06,262144,33.5,1.66,1.84,37,36.19
nemotron-3.5-lightning-30b-a3b,Nemotron 3.5 Lightning 30B-A3B (MoE),Q6_K,0.82,4096,25.91,0.08,1.54,27.52,27.51
nemotron-3.5-lightning-30b-a3b,Nemotron 3.5 Lightning 30B-A3B (MoE),Q6_K,0.82,8192,25.91,0.1,1.54,27.55,27.52
nemotron-3.5-lightning-30b-a3b,Nemotron 3.5 Lightning 30B-A3B (MoE),Q6_K,0.82,16384,25.91,0.15,1.54,27.6,27.55
nemotron-3.5-lightning-30b-a3b,Nemotron 3.5 Lightning 30B-A3B (MoE),Q6_K,0.82,32768,25.91,0.25,1.54,27.7,27.6
nemotron-3.5-lightning-30b-a3b,Nemotron 3.5 Lightning 30B-A3B (MoE),Q6_K,0.82,65536,25.91,0.45,1.54,27.9,27.7
nemotron-3.5-lightning-30b-a3b,Nemotron 3.5 Lightning 30B-A3B (MoE),Q6_K,0.82,131072,25.91,0.86,1.54,28.3,27.9
nemotron-3.5-lightning-30b-a3b,Nemotron 3.5 Lightning 30B-A3B (MoE),Q6_K,0.82,262144,25.91,1.66,1.54,29.11,28.3
nemotron-3.5-lightning-30b-a3b,Nemotron 3.5 Lightning 30B-A3B (MoE),Q5_K_M,0.71,4096,22.44,0.08,1.4,23.91,23.9
nemotron-3.5-lightning-30b-a3b,Nemotron 3.5 Lightning 30B-A3B (MoE),Q5_K_M,0.71,8192,22.44,0.1,1.4,23.93,23.91
nemotron-3.5-lightning-30b-a3b,Nemotron 3.5 Lightning 30B-A3B (MoE),Q5_K_M,0.71,16384,22.44,0.15,1.4,23.98,23.93
nemotron-3.5-lightning-30b-a3b,Nemotron 3.5 Lightning 30B-A3B (MoE),Q5_K_M,0.71,32768,22.44,0.25,1.4,24.08,23.98
nemotron-3.5-lightning-30b-a3b,Nemotron 3.5 Lightning 30B-A3B (MoE),Q5_K_M,0.71,65536,22.44,0.45,1.4,24.29,24.08
nemotron-3.5-lightning-30b-a3b,Nemotron 3.5 Lightning 30B-A3B (MoE),Q5_K_M,0.71,131072,22.44,0.86,1.4,24.69,24.29
nemotron-3.5-lightning-30b-a3b,Nemotron 3.5 Lightning 30B-A3B (MoE),Q5_K_M,0.71,262144,22.44,1.66,1.4,25.49,24.69
nemotron-3.5-lightning-30b-a3b,Nemotron 3.5 Lightning 30B-A3B (MoE),Q4_K_M,0.58,4096,18.33,0.08,1.23,19.64,19.62
nemotron-3.5-lightning-30b-a3b,Nemotron 3.5 Lightning 30B-A3B (MoE),Q4_K_M,0.58,8192,18.33,0.1,1.23,19.66,19.64
nemotron-3.5-lightning-30b-a3b,Nemotron 3.5 Lightning 30B-A3B (MoE),Q4_K_M,0.58,16384,18.33,0.15,1.23,19.71,19.66
nemotron-3.5-lightning-30b-a3b,Nemotron 3.5 Lightning 30B-A3B (MoE),Q4_K_M,0.58,32768,18.33,0.25,1.23,19.81,19.71
nemotron-3.5-lightning-30b-a3b,Nemotron 3.5 Lightning 30B-A3B (MoE),Q4_K_M,0.58,65536,18.33,0.45,1.23,20.01,19.81
nemotron-3.5-lightning-30b-a3b,Nemotron 3.5 Lightning 30B-A3B (MoE),Q4_K_M,0.58,131072,18.33,0.86,1.23,20.42,20.01
nemotron-3.5-lightning-30b-a3b,Nemotron 3.5 Lightning 30B-A3B (MoE),Q4_K_M,0.58,262144,18.33,1.66,1.23,21.22,20.42
nemotron-3.5-lightning-30b-a3b,Nemotron 3.5 Lightning 30B-A3B (MoE),Q3_K_M,0.47,4096,14.85,0.08,1.09,16.02,16.01
nemotron-3.5-lightning-30b-a3b,Nemotron 3.5 Lightning 30B-A3B (MoE),Q3_K_M,0.47,8192,14.85,0.1,1.09,16.05,16.02
nemotron-3.5-lightning-30b-a3b,Nemotron 3.5 Lightning 30B-A3B (MoE),Q3_K_M,0.47,16384,14.85,0.15,1.09,16.1,16.05
nemotron-3.5-lightning-30b-a3b,Nemotron 3.5 Lightning 30B-A3B (MoE),Q3_K_M,0.47,32768,14.85,0.25,1.09,16.2,16.1
nemotron-3.5-lightning-30b-a3b,Nemotron 3.5 Lightning 30B-A3B (MoE),Q3_K_M,0.47,65536,14.85,0.45,1.09,16.4,16.2
nemotron-3.5-lightning-30b-a3b,Nemotron 3.5 Lightning 30B-A3B (MoE),Q3_K_M,0.47,131072,14.85,0.86,1.09,16.8,16.4
nemotron-3.5-lightning-30b-a3b,Nemotron 3.5 Lightning 30B-A3B (MoE),Q3_K_M,0.47,262144,14.85,1.66,1.09,17.61,16.8
qwen3-32b,Qwen3 32B,FP16,2,4096,65.6,1.07,3.12,69.8,69.26
qwen3-32b,Qwen3 32B,FP16,2,8192,65.6,2.15,3.12,70.87,69.8
qwen3-32b,Qwen3 32B,FP16,2,16384,65.6,4.29,3.12,73.02,70.87
qwen3-32b,Qwen3 32B,FP16,2,32768,65.6,8.59,3.12,77.31,73.02
qwen3-32b,Qwen3 32B,FP16,2,40960,65.6,10.74,3.12,79.46,74.09
qwen3-32b,Qwen3 32B,Q8_0,1.06,4096,34.77,1.07,1.89,37.73,37.2
qwen3-32b,Qwen3 32B,Q8_0,1.06,8192,34.77,2.15,1.89,38.81,37.73
qwen3-32b,Qwen3 32B,Q8_0,1.06,16384,34.77,4.29,1.89,40.95,38.81
qwen3-32b,Qwen3 32B,Q8_0,1.06,32768,34.77,8.59,1.89,45.25,40.95
qwen3-32b,Qwen3 32B,Q8_0,1.06,40960,34.77,10.74,1.89,47.4,42.03
qwen3-32b,Qwen3 32B,Q6_K,0.82,4096,26.9,1.07,1.58,29.55,29.01
qwen3-32b,Qwen3 32B,Q6_K,0.82,8192,26.9,2.15,1.58,30.62,29.55
qwen3-32b,Qwen3 32B,Q6_K,0.82,16384,26.9,4.29,1.58,32.77,30.62
qwen3-32b,Qwen3 32B,Q6_K,0.82,32768,26.9,8.59,1.58,37.06,32.77
qwen3-32b,Qwen3 32B,Q6_K,0.82,40960,26.9,10.74,1.58,39.21,33.84
qwen3-32b,Qwen3 32B,Q5_K_M,0.71,4096,23.29,1.07,1.43,25.79,25.26
qwen3-32b,Qwen3 32B,Q5_K_M,0.71,8192,23.29,2.15,1.43,26.87,25.79
qwen3-32b,Qwen3 32B,Q5_K_M,0.71,16384,23.29,4.29,1.43,29.01,26.87
qwen3-32b,Qwen3 32B,Q5_K_M,0.71,32768,23.29,8.59,1.43,33.31,29.01
qwen3-32b,Qwen3 32B,Q5_K_M,0.71,40960,23.29,10.74,1.43,35.46,30.09
qwen3-32b,Qwen3 32B,Q4_K_M,0.58,4096,19.02,1.07,1.26,21.36,20.82
qwen3-32b,Qwen3 32B,Q4_K_M,0.58,8192,19.02,2.15,1.26,22.43,21.36
qwen3-32b,Qwen3 32B,Q4_K_M,0.58,16384,19.02,4.29,1.26,24.58,22.43
qwen3-32b,Qwen3 32B,Q4_K_M,0.58,32768,19.02,8.59,1.26,28.87,24.58
qwen3-32b,Qwen3 32B,Q4_K_M,0.58,40960,19.02,10.74,1.26,31.02,25.65
qwen3-32b,Qwen3 32B,Q3_K_M,0.47,4096,15.42,1.07,1.12,17.61,17.07
qwen3-32b,Qwen3 32B,Q3_K_M,0.47,8192,15.42,2.15,1.12,18.68,17.61
qwen3-32b,Qwen3 32B,Q3_K_M,0.47,16384,15.42,4.29,1.12,20.83,18.68
qwen3-32b,Qwen3 32B,Q3_K_M,0.47,32768,15.42,8.59,1.12,25.12,20.83
qwen3-32b,Qwen3 32B,Q3_K_M,0.47,40960,15.42,10.74,1.12,27.27,21.9
qwen2.5-coder-32b,Qwen2.5 Coder 32B,FP16,2,4096,65.6,1.07,3.12,69.8,69.26
qwen2.5-coder-32b,Qwen2.5 Coder 32B,FP16,2,8192,65.6,2.15,3.12,70.87,69.8
qwen2.5-coder-32b,Qwen2.5 Coder 32B,FP16,2,16384,65.6,4.29,3.12,73.02,70.87
qwen2.5-coder-32b,Qwen2.5 Coder 32B,FP16,2,32768,65.6,8.59,3.12,77.31,73.02
qwen2.5-coder-32b,Qwen2.5 Coder 32B,Q8_0,1.06,4096,34.77,1.07,1.89,37.73,37.2
qwen2.5-coder-32b,Qwen2.5 Coder 32B,Q8_0,1.06,8192,34.77,2.15,1.89,38.81,37.73
qwen2.5-coder-32b,Qwen2.5 Coder 32B,Q8_0,1.06,16384,34.77,4.29,1.89,40.95,38.81
qwen2.5-coder-32b,Qwen2.5 Coder 32B,Q8_0,1.06,32768,34.77,8.59,1.89,45.25,40.95
qwen2.5-coder-32b,Qwen2.5 Coder 32B,Q6_K,0.82,4096,26.9,1.07,1.58,29.55,29.01
qwen2.5-coder-32b,Qwen2.5 Coder 32B,Q6_K,0.82,8192,26.9,2.15,1.58,30.62,29.55
qwen2.5-coder-32b,Qwen2.5 Coder 32B,Q6_K,0.82,16384,26.9,4.29,1.58,32.77,30.62
qwen2.5-coder-32b,Qwen2.5 Coder 32B,Q6_K,0.82,32768,26.9,8.59,1.58,37.06,32.77
qwen2.5-coder-32b,Qwen2.5 Coder 32B,Q5_K_M,0.71,4096,23.29,1.07,1.43,25.79,25.26
qwen2.5-coder-32b,Qwen2.5 Coder 32B,Q5_K_M,0.71,8192,23.29,2.15,1.43,26.87,25.79
qwen2.5-coder-32b,Qwen2.5 Coder 32B,Q5_K_M,0.71,16384,23.29,4.29,1.43,29.01,26.87
qwen2.5-coder-32b,Qwen2.5 Coder 32B,Q5_K_M,0.71,32768,23.29,8.59,1.43,33.31,29.01
qwen2.5-coder-32b,Qwen2.5 Coder 32B,Q4_K_M,0.58,4096,19.02,1.07,1.26,21.36,20.82
qwen2.5-coder-32b,Qwen2.5 Coder 32B,Q4_K_M,0.58,8192,19.02,2.15,1.26,22.43,21.36
qwen2.5-coder-32b,Qwen2.5 Coder 32B,Q4_K_M,0.58,16384,19.02,4.29,1.26,24.58,22.43
qwen2.5-coder-32b,Qwen2.5 Coder 32B,Q4_K_M,0.58,32768,19.02,8.59,1.26,28.87,24.58
qwen2.5-coder-32b,Qwen2.5 Coder 32B,Q3_K_M,0.47,4096,15.42,1.07,1.12,17.61,17.07
qwen2.5-coder-32b,Qwen2.5 Coder 32B,Q3_K_M,0.47,8192,15.42,2.15,1.12,18.68,17.61
qwen2.5-coder-32b,Qwen2.5 Coder 32B,Q3_K_M,0.47,16384,15.42,4.29,1.12,20.83,18.68
qwen2.5-coder-32b,Qwen2.5 Coder 32B,Q3_K_M,0.47,32768,15.42,8.59,1.12,25.12,20.83
deepseek-r1-distill-qwen-32b,DeepSeek-R1 Distill Qwen 32B,FP16,2,4096,65.6,1.07,3.12,69.8,69.26
deepseek-r1-distill-qwen-32b,DeepSeek-R1 Distill Qwen 32B,FP16,2,8192,65.6,2.15,3.12,70.87,69.8
deepseek-r1-distill-qwen-32b,DeepSeek-R1 Distill Qwen 32B,FP16,2,16384,65.6,4.29,3.12,73.02,70.87
