model_id,model,quant,bytes_per_param,context_tokens,weights_gb,kv_cache_gb,overhead_gb,total_gb,total_gb_q8_cache
mistral-small-3.1-24b,Mistral Small 3.1 24B,Q3_K_M,0.47,16384,11.28,2.68,0.95,14.92,13.57
mistral-small-3.1-24b,Mistral Small 3.1 24B,Q3_K_M,0.47,32768,11.28,5.37,0.95,17.6,14.92
mistral-small-3.1-24b,Mistral Small 3.1 24B,Q3_K_M,0.47,65536,11.28,10.74,0.95,22.97,17.6
mistral-small-3.1-24b,Mistral Small 3.1 24B,Q3_K_M,0.47,131072,11.28,21.47,0.95,33.71,22.97
gemma-4-26b-a4b,Gemma 4 26B-A4B (MoE),FP16,2,4096,51.6,0.29,2.56,54.46,54.31
gemma-4-26b-a4b,Gemma 4 26B-A4B (MoE),FP16,2,8192,51.6,0.38,2.56,54.54,54.35
gemma-4-26b-a4b,Gemma 4 26B-A4B (MoE),FP16,2,16384,51.6,0.55,2.56,54.71,54.44
gemma-4-26b-a4b,Gemma 4 26B-A4B (MoE),FP16,2,32768,51.6,0.88,2.56,55.04,54.6
gemma-4-26b-a4b,Gemma 4 26B-A4B (MoE),FP16,2,65536,51.6,1.55,2.56,55.72,54.94
gemma-4-26b-a4b,Gemma 4 26B-A4B (MoE),FP16,2,131072,51.6,2.89,2.56,57.06,55.61
gemma-4-26b-a4b,Gemma 4 26B-A4B (MoE),FP16,2,262144,51.6,5.58,2.56,59.74,56.95
gemma-4-26b-a4b,Gemma 4 26B-A4B (MoE),Q8_0,1.06,4096,27.35,0.29,1.59,29.24,29.09
gemma-4-26b-a4b,Gemma 4 26B-A4B (MoE),Q8_0,1.06,8192,27.35,0.38,1.59,29.32,29.13
gemma-4-26b-a4b,Gemma 4 26B-A4B (MoE),Q8_0,1.06,16384,27.35,0.55,1.59,29.49,29.21
gemma-4-26b-a4b,Gemma 4 26B-A4B (MoE),Q8_0,1.06,32768,27.35,0.88,1.59,29.82,29.38
gemma-4-26b-a4b,Gemma 4 26B-A4B (MoE),Q8_0,1.06,65536,27.35,1.55,1.59,30.49,29.72
gemma-4-26b-a4b,Gemma 4 26B-A4B (MoE),Q8_0,1.06,131072,27.35,2.89,1.59,31.84,30.39
gemma-4-26b-a4b,Gemma 4 26B-A4B (MoE),Q8_0,1.06,262144,27.35,5.58,1.59,34.52,31.73
gemma-4-26b-a4b,Gemma 4 26B-A4B (MoE),Q6_K,0.82,4096,21.16,0.29,1.35,22.8,22.65
gemma-4-26b-a4b,Gemma 4 26B-A4B (MoE),Q6_K,0.82,8192,21.16,0.38,1.35,22.88,22.69
gemma-4-26b-a4b,Gemma 4 26B-A4B (MoE),Q6_K,0.82,16384,21.16,0.55,1.35,23.05,22.77
gemma-4-26b-a4b,Gemma 4 26B-A4B (MoE),Q6_K,0.82,32768,21.16,0.88,1.35,23.38,22.94
gemma-4-26b-a4b,Gemma 4 26B-A4B (MoE),Q6_K,0.82,65536,21.16,1.55,1.35,24.05,23.28
gemma-4-26b-a4b,Gemma 4 26B-A4B (MoE),Q6_K,0.82,131072,21.16,2.89,1.35,25.4,23.95
gemma-4-26b-a4b,Gemma 4 26B-A4B (MoE),Q6_K,0.82,262144,21.16,5.58,1.35,28.08,25.29
gemma-4-26b-a4b,Gemma 4 26B-A4B (MoE),Q5_K_M,0.71,4096,18.32,0.29,1.23,19.84,19.7
gemma-4-26b-a4b,Gemma 4 26B-A4B (MoE),Q5_K_M,0.71,8192,18.32,0.38,1.23,19.93,19.74
gemma-4-26b-a4b,Gemma 4 26B-A4B (MoE),Q5_K_M,0.71,16384,18.32,0.55,1.23,20.1,19.82
gemma-4-26b-a4b,Gemma 4 26B-A4B (MoE),Q5_K_M,0.71,32768,18.32,0.88,1.23,20.43,19.99
gemma-4-26b-a4b,Gemma 4 26B-A4B (MoE),Q5_K_M,0.71,65536,18.32,1.55,1.23,21.1,20.33
gemma-4-26b-a4b,Gemma 4 26B-A4B (MoE),Q5_K_M,0.71,131072,18.32,2.89,1.23,22.44,21
gemma-4-26b-a4b,Gemma 4 26B-A4B (MoE),Q5_K_M,0.71,262144,18.32,5.58,1.23,25.13,22.34
gemma-4-26b-a4b,Gemma 4 26B-A4B (MoE),Q4_K_M,0.58,4096,14.96,0.29,1.1,16.36,16.21
gemma-4-26b-a4b,Gemma 4 26B-A4B (MoE),Q4_K_M,0.58,8192,14.96,0.38,1.1,16.44,16.25
gemma-4-26b-a4b,Gemma 4 26B-A4B (MoE),Q4_K_M,0.58,16384,14.96,0.55,1.1,16.61,16.34
gemma-4-26b-a4b,Gemma 4 26B-A4B (MoE),Q4_K_M,0.58,32768,14.96,0.88,1.1,16.94,16.5
gemma-4-26b-a4b,Gemma 4 26B-A4B (MoE),Q4_K_M,0.58,65536,14.96,1.55,1.1,17.61,16.84
gemma-4-26b-a4b,Gemma 4 26B-A4B (MoE),Q4_K_M,0.58,131072,14.96,2.89,1.1,18.96,17.51
gemma-4-26b-a4b,Gemma 4 26B-A4B (MoE),Q4_K_M,0.58,262144,14.96,5.58,1.1,21.64,18.85
gemma-4-26b-a4b,Gemma 4 26B-A4B (MoE),Q3_K_M,0.47,4096,12.13,0.29,0.99,13.4,13.26
gemma-4-26b-a4b,Gemma 4 26B-A4B (MoE),Q3_K_M,0.47,8192,12.13,0.38,0.99,13.49,13.3
gemma-4-26b-a4b,Gemma 4 26B-A4B (MoE),Q3_K_M,0.47,16384,12.13,0.55,0.99,13.66,13.38
gemma-4-26b-a4b,Gemma 4 26B-A4B (MoE),Q3_K_M,0.47,32768,12.13,0.88,0.99,13.99,13.55
gemma-4-26b-a4b,Gemma 4 26B-A4B (MoE),Q3_K_M,0.47,65536,12.13,1.55,0.99,14.66,13.89
gemma-4-26b-a4b,Gemma 4 26B-A4B (MoE),Q3_K_M,0.47,131072,12.13,2.89,0.99,16.01,14.56
gemma-4-26b-a4b,Gemma 4 26B-A4B (MoE),Q3_K_M,0.47,262144,12.13,5.58,0.99,18.69,15.9
gemma-3-27b,Gemma 3 27B,FP16,2,4096,54.8,0.77,2.69,58.26,57.88
gemma-3-27b,Gemma 3 27B,FP16,2,8192,54.8,1.11,2.69,58.6,58.05
gemma-3-27b,Gemma 3 27B,FP16,2,16384,54.8,1.78,2.69,59.27,58.38
gemma-3-27b,Gemma 3 27B,FP16,2,32768,54.8,3.12,2.69,60.61,59.05
gemma-3-27b,Gemma 3 27B,FP16,2,65536,54.8,5.8,2.69,63.3,60.39
gemma-3-27b,Gemma 3 27B,FP16,2,131072,54.8,11.17,2.69,68.67,63.08
gemma-3-27b,Gemma 3 27B,Q8_0,1.06,4096,29.04,0.77,1.66,31.48,31.09
gemma-3-27b,Gemma 3 27B,Q8_0,1.06,8192,29.04,1.11,1.66,31.81,31.26
gemma-3-27b,Gemma 3 27B,Q8_0,1.06,16384,29.04,1.78,1.66,32.48,31.59
gemma-3-27b,Gemma 3 27B,Q8_0,1.06,32768,29.04,3.12,1.66,33.83,32.27
gemma-3-27b,Gemma 3 27B,Q8_0,1.06,65536,29.04,5.8,1.66,36.51,33.61
gemma-3-27b,Gemma 3 27B,Q8_0,1.06,131072,29.04,11.17,1.66,41.88,36.29
gemma-3-27b,Gemma 3 27B,Q6_K,0.82,4096,22.47,0.77,1.4,24.64,24.25
gemma-3-27b,Gemma 3 27B,Q6_K,0.82,8192,22.47,1.11,1.4,24.97,24.42
gemma-3-27b,Gemma 3 27B,Q6_K,0.82,16384,22.47,1.78,1.4,25.65,24.76
gemma-3-27b,Gemma 3 27B,Q6_K,0.82,32768,22.47,3.12,1.4,26.99,25.43
gemma-3-27b,Gemma 3 27B,Q6_K,0.82,65536,22.47,5.8,1.4,29.67,26.77
gemma-3-27b,Gemma 3 27B,Q6_K,0.82,131072,22.47,11.17,1.4,35.04,29.45
gemma-3-27b,Gemma 3 27B,Q5_K_M,0.71,4096,19.45,0.77,1.28,21.5,21.12
gemma-3-27b,Gemma 3 27B,Q5_K_M,0.71,8192,19.45,1.11,1.28,21.84,21.29
gemma-3-27b,Gemma 3 27B,Q5_K_M,0.71,16384,19.45,1.78,1.28,22.51,21.62
gemma-3-27b,Gemma 3 27B,Q5_K_M,0.71,32768,19.45,3.12,1.28,23.85,22.29
gemma-3-27b,Gemma 3 27B,Q5_K_M,0.71,65536,19.45,5.8,1.28,26.54,23.63
gemma-3-27b,Gemma 3 27B,Q5_K_M,0.71,131072,19.45,11.17,1.28,31.91,26.32
gemma-3-27b,Gemma 3 27B,Q4_K_M,0.58,4096,15.89,0.77,1.14,17.8,17.41
gemma-3-27b,Gemma 3 27B,Q4_K_M,0.58,8192,15.89,1.11,1.14,18.13,17.58
gemma-3-27b,Gemma 3 27B,Q4_K_M,0.58,16384,15.89,1.78,1.14,18.81,17.92
gemma-3-27b,Gemma 3 27B,Q4_K_M,0.58,32768,15.89,3.12,1.14,20.15,18.59
gemma-3-27b,Gemma 3 27B,Q4_K_M,0.58,65536,15.89,5.8,1.14,22.83,19.93
gemma-3-27b,Gemma 3 27B,Q4_K_M,0.58,131072,15.89,11.17,1.14,28.2,22.61
gemma-3-27b,Gemma 3 27B,Q3_K_M,0.47,4096,12.88,0.77,1.02,14.66,14.28
gemma-3-27b,Gemma 3 27B,Q3_K_M,0.47,8192,12.88,1.11,1.02,15,14.45
gemma-3-27b,Gemma 3 27B,Q3_K_M,0.47,16384,12.88,1.78,1.02,15.67,14.78
gemma-3-27b,Gemma 3 27B,Q3_K_M,0.47,32768,12.88,3.12,1.02,17.01,15.45
gemma-3-27b,Gemma 3 27B,Q3_K_M,0.47,65536,12.88,5.8,1.02,19.7,16.8
gemma-3-27b,Gemma 3 27B,Q3_K_M,0.47,131072,12.88,11.17,1.02,25.07,19.48
qwen3.8-27b,Qwen3.8 27B,FP16,2,4096,55.6,0.42,2.72,58.74,58.61
qwen3.8-27b,Qwen3.8 27B,FP16,2,8192,55.6,0.69,2.72,59.01,58.74
qwen3.8-27b,Qwen3.8 27B,FP16,2,16384,55.6,1.22,2.72,59.55,59.01
qwen3.8-27b,Qwen3.8 27B,FP16,2,32768,55.6,2.3,2.72,60.62,59.55
qwen3.8-27b,Qwen3.8 27B,FP16,2,65536,55.6,4.44,2.72,62.77,60.62
qwen3.8-27b,Qwen3.8 27B,FP16,2,131072,55.6,8.74,2.72,67.06,62.77
qwen3.8-27b,Qwen3.8 27B,FP16,2,262144,55.6,17.33,2.72,75.65,67.06
qwen3.8-27b,Qwen3.8 27B,Q8_0,1.06,4096,29.47,0.42,1.68,31.57,31.43
qwen3.8-27b,Qwen3.8 27B,Q8_0,1.06,8192,29.47,0.69,1.68,31.83,31.57
qwen3.8-27b,Qwen3.8 27B,Q8_0,1.06,16384,29.47,1.22,1.68,32.37,31.83
qwen3.8-27b,Qwen3.8 27B,Q8_0,1.06,32768,29.47,2.3,1.68,33.44,32.37
qwen3.8-27b,Qwen3.8 27B,Q8_0,1.06,65536,29.47,4.44,1.68,35.59,33.44
qwen3.8-27b,Qwen3.8 27B,Q8_0,1.06,131072,29.47,8.74,1.68,39.89,35.59
qwen3.8-27b,Qwen3.8 27B,Q8_0,1.06,262144,29.47,17.33,1.68,48.48,39.89
qwen3.8-27b,Qwen3.8 27B,Q6_K,0.82,4096,22.8,0.42,1.41,24.63,24.49
qwen3.8-27b,Qwen3.8 27B,Q6_K,0.82,8192,22.8,0.69,1.41,24.89,24.63
qwen3.8-27b,Qwen3.8 27B,Q6_K,0.82,16384,22.8,1.22,1.41,25.43,24.89
qwen3.8-27b,Qwen3.8 27B,Q6_K,0.82,32768,22.8,2.3,1.41,26.51,25.43
qwen3.8-27b,Qwen3.8 27B,Q6_K,0.82,65536,22.8,4.44,1.41,28.65,26.51
qwen3.8-27b,Qwen3.8 27B,Q6_K,0.82,131072,22.8,8.74,1.41,32.95,28.65
